productID,relatedOne,relatedTwo,relatedThree
635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,347b02c0-ed21-7d90-3b47-096a8f073922,0e0d92a8-9b91-959f-e46b-1c2ab1a0fdf3
adda328b-9e4f-41af-0459-561f30a07193,635dcdd0-76ba-7b84-08cb-3f0e25352801,347b02c0-ed21-7d90-3b47-096a8f073922,0e0d92a8-9b91-959f-e46b-1c2ab1a0fdf3
347b02c0-ed21-7d90-3b47-096a8f073922,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,0e0d92a8-9b91-959f-e46b-1c2ab1a0fdf3
0e0d92a8-9b91-959f-e46b-1c2ab1a0fdf3,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,347b02c0-ed21-7d90-3b47-096a8f073922
ba680026-7b76-3fd4-89f7-2fce500cbc94,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,347b02c0-ed21-7d90-3b47-096a8f073922
d335d6b1-ac7e-02d1-2ca5-c1eba4664e5e,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,347b02c0-ed21-7d90-3b47-096a8f073922
964767e8-44e0-4453-5e81-9ec1f1cbd0eb,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193,347b02c0-ed21-7d90-3b47-096a8f073922
8f24284b-b0ec-9c4f-f1bc-15678d21ce74,,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193
,8f24284b-b0ec-9c4f-f1bc-15678d21ce74,635dcdd0-76ba-7b84-08cb-3f0e25352801,adda328b-9e4f-41af-0459-561f30a07193
